Word,Most_Similar_Word
правовой,[]
анализ,[]
профессор,"[('пед', 0.7280815839767456)]"
тема,[]
социалистический,[]
демократия,[]
выступить,[]
орган,[]
принцип,[]
формирование,[]
деятельность,[]
контрольный,[]
надзорный,[]
учёный,[]
обнародовать,[]
результат,[]
исследование,[]
выполнить,[]
финансовый,[]
поддержка,[]
рамка,[]
проект,[]
исследователь,[]
итог,"[('подвести', 0.7245553135871887)]"
планироваться,[]
издание,[]
сборник,[]
стать,[]
игра,[]
летний,[]
перерыв,[]
стадион,[]
пятый,[]
межрегиональный,[]
турнир,[]
группа,[]
дивизион,[]
нсфл,[]
комплексный,[]
всероссийский,[]
соревнование,[]
сезон,[]
команда,[]
напомнить,[]
ждать,[]
пять,[]
программный,[]
тур,[]
сегодняшний,[]
подойти,[]
конец,[]
стартовать,[]
сборная,[]
поражение,"[('потерпеть', 0.7361647486686707)]"
занимать,[]
промежуточный,[]
турнирный,"[('таблица', 0.7157426476478577)]"
таблица,"[('турнирный', 0.7157425880432129)]"
расписание,[]
саратовский,[]
пятница,"[('понедельник', 0.7206951379776001)]"
суббота,[]
воскресение,[]
доступный,[]
прямой,[]
эфир,[]
канал,[]
ссылка,[]
против,[]
интересовать,[]
обращаться,[]
пресс,[]
атташе,[]
телефон,[]
официальный,[]
социальный,[]
сеть,[]
выйти,[]
книга,[]
каталог,[]
членистоногий,[]
национальный,[]
парк,[]
хвалынский,[]
редакция,[]
морфология,[]
экология,[]
животное,[]
монография,[]
фауна,[]
прилегать,[]
материал,[]
ведущий,[]
энтомолог,[]
зоолог,[]
биологический,[]
аспирант,[]
специалист,[]
различный,[]
создание,[]
целенаправленный,[]
привлечь,[]
разный,[]
образовательный,[]
организация,[]
основа,[]
обработать,[]
автор,[]
крупный,[]
раздел,[]
приводиться,[]
основной,[]
источник,[]
исследовать,[]
включая,[]
естествоиспытатель,[]
краевед,[]
труд,[]
смочь,[]
охватить,[]
состав,[]
познание,[]
природа,[]
благодаря,[]
работа,[]
узнать,[]
летать,[]
прыгать,[]
склон,[]
широкий,[]
меловой,"[('юрский', 0.7500489354133606)]"
степь,"[('тюльпанный', 0.7572071552276611)]"
ведение,[]
мониторинговый,[]
важно,[]
прогноз,[]
изменение,[]
близкий,[]
десятилетие,[]
удивительный,[]
уникальный,[]
иметь,[]
федеральный,[]
статус,[]
охранный,[]
зона,[]
фотография,[]
основный,[]
ландшафт,[]
попытаться,[]
донести,[]
предоставить,[]
вид,[]
самый,[]
больший,[]
планета,[]
видовой,[]
разнообразие,[]
численность,[]
редкий,[]
многоножка,"[('<unk>', 0.7074384093284607), ('искалечить', 0.706497848033905), ('гам', 0.7014971375465393), ('кустарниковый', 0.7005881667137146)]"
паук,[]
насекомое,[]
обитать,[]
порой,[]
чувствительный,[]
укус,[]
восхищать,[]
красота,[]
биология,[]
привести,[]
сведение,[]
приуроченность,[]
срок,[]
активность,[]
встречаемость,[]
охранять,[]
включать,[]
цветной,[]
авторский,[]
природный,[]
биотоп,[]
страница,[]
многочисленный,[]
небольшой,[]
отряд,[]
беспозвоночный,[]
перечень,[]
далёкий,[]
полный,[]
так,[]
изучить,[]
мониторинг,[]
протяжение,[]
период,[]
век,[]
показать,[]
оказаться,[]
переломный,[]
момент,[]
процесс,[]
улучшение,[]
восстановление,[]
комплекс,[]
опубликовать,[]
свыше,[]
установить,[]
выявить,[]
область,[]
отдельный,[]
рекомендовать,[]
внести,[]
третий,"[('второй', 0.7114764451980591)]"
значимость,[]
данный,[]
входить,[]
тройка,"[('замыкать', 0.7485567927360535), ('замкнуть', 0.7009133696556091)]"
объёмный,[]
таксономический,[]
значимый,[]
категория,[]
охватывать,[]
кадастр,[]
сообщество,[]
естественный,[]
экосистема,[]
благодарственный,"[('письмо', 0.7882983088493347)]"
письмо,"[('благодарственный', 0.7882983684539795)]"
документ,[]
философский,[]
разработка,[]
макет,[]
календарь,[]
ведомство,[]
технический,[]
комитет,[]
календарный,[]
продукция,[]
управление,[]
уровень,[]
патриотизм,[]
проявить,[]
инициатива,[]
усердие,[]
профессионализм,[]
электронный,[]
бумажный,[]
проводиться,[]
популяризация,[]
материально,[]
обеспечение,[]
видеоролик,[]
присоединиться,[]
незабываемый,[]
дата,[]
задуматься,[]
мало,[]
непосредственный,[]
этот,[]
лично,[]
должный,[]
поклониться,[]
нога,[]
поблагодарить,[]
боец,[]
видеопоздравление,[]
ребята,[]
переживание,[]
памятный,[]
приложимый,[]
сохранить,[]
долгий,[]
идти,[]
комиссар,[]
творческий,[]
подать,[]
заявка,[]
конкурс,[]
литература,[]
эпоха,[]
объявить,[]
издатель,[]
приём,[]
продолжаться,[]
октябрь,"[('ноябрь', 0.7774091958999634), ('сентябрь', 0.7316288352012634)]"
январь,"[('февраль', 0.7217413783073425)]"
текущий,[]
приз,[]
победитель,[]
возможность,[]
произведение,[]
подведение,[]
прозаик,[]
поэт,[]
литературный,[]
критик,[]
драматург,[]
детский,[]
писатель,[]
начинающий,[]
войти,[]
итоговый,[]
конкурсный,[]
центральный,[]
площадка,[]
столица,[]
посетить,[]
семинар,[]
направление,[]
проза,[]
поэзия,[]
критика,[]
драматургия,[]
круглый,"[('стол', 0.9442565441131592)]"
стол,"[('круглый', 0.9442565441131592)]"
поэтический,[]
вечер,"[('хэдлайнер', 0.7020355463027954)]"
мастер,"[('класс', 0.7754731178283691)]"
встреча,[]
известный,[]
персона,[]
режиссёр,[]
собственный,[]
подборка,[]
стихотворение,[]
публика,[]
отзыв,[]
говорить,[]
конструктивный,[]
достоинство,[]
заметить,[]
недостаток,[]
понять,[]
что,[]
стремиться,[]
интенсивно,[]
сложно,[]
просто,[]
пропустить,[]
пойти,[]
погулять,[]
дисциплинировать,[]
делать,[]
действительно,[]
поучиться,[]
впечатление,"[('поделиться', 0.72621750831604)]"
победительница,[]
метеорологический,[]
географический,[]
двор,[]
учебный,[]
молодёжный,[]
клуб,[]
появиться,[]
попробовать,[]
метеоролог,[]
наблюдатель,[]
произвести,[]
сравнительный,[]
вода,[]
привозить,[]
себя,[]
проба,[]
колодец,[]
родниковый,[]
водопроводный,"[('пресный', 0.7957937121391296), ('грунтовый', 0.7043499946594238)]"
экскурсионный,[]
познакомить,[]
помощь,[]
какой,[]
оборудование,[]
производить,[]
наблюдение,[]
погода,[]
высота,[]
приглашаться,[]
независимо,[]
возраст,[]
регистрация,[]
экспедиция,[]
структура,[]
жесткокрылый,"[('двукрылый', 0.7130243182182312)]"
лес,[]
степной,"[('лесостепной', 0.7790372371673584)]"
течение,[]
многий,[]
затрагивать,[]
аспект,[]
изучение,[]
биоразнообразие,[]
лесной,[]
изучаться,[]
экологический,[]
распространение,[]
популяция,[]
растение,[]
совместно,[]
проблема,[]
насаждение,[]
восточный,[]
район,[]
окрестность,[]
интересный,[]
ландшафтный,[]
объект,[]
являться,[]
западный,[]
возвышенность,[]
озеро,"[('солёный', 0.708271861076355)]"
солёный,"[('озеро', 0.708271861076355)]"
крайний,[]
восток,"[('юго', 0.7260275483131409)]"
практически,[]
лишить,[]
значительно,[]
бедный,[]
дерево,[]
правобережный,[]
разнообразный,[]
древесный,"[('кустарниковый', 0.8507960438728333)]"
значительный,[]
интерес,[]
понимание,[]
адаптивный,[]
практический,[]
значение,[]
выявление,[]
возможный,[]
вредитель,[]
способный,[]
снизить,[]
устойчивость,[]
гибель,[]
компьютерный,[]
информационный,[]
технология,[]
база,[]
центр,[]
цифровой,[]
гуманитарный,[]
профиль,[]
точка,"[('зрение', 0.7496122717857361)]"
рост,[]
пробуждение,[]
практикум,[]
пространство,[]
школа,[]
вне,[]
цель,[]
педагог,[]
навык,[]
знание,[]
подбор,[]
применение,[]
дистанционный,[]
трансформация,[]
присутствовать,[]
учитель,[]
информатика,[]
общеобразовательный,[]
учреждение,[]
дискуссионный,[]
этикет,[]
гигиена,[]
обсуждать,[]
необходимость,[]
проведение,[]
родитель,[]
подниматься,[]
безопасность,[]
персональный,[]
негосударственный,[]
поставщик,[]
дополнительный,[]
услуга,[]
обучение,[]
познакомиться,[]
совместный,[]
чат,[]
бот,[]
рассмотреть,[]
вариант,[]
готовый,[]
шаблон,[]
язык,"[('английский', 0.7824819087982178), ('иностранный', 0.7169831395149231)]"
программирование,[]
обучаться,[]
педагогический,"[('психолого', 0.7431175112724304)]"
выпускной,[]
квалификационный,[]
организовать,[]
качество,[]
отрасль,[]
грамотность,[]
особенный,[]
реализовать,[]
профсоюзный,[]
работник,[]
приглашать,[]
рисунок,[]
сказка,[]
библионочь,[]
состязание,[]
призвать,[]
внимание,"[('обратить', 0.7628961801528931), ('уделить', 0.7454402446746826)]"
духовно,"[('нравственный', 0.8240527510643005)]"
нравственный,"[('духовно', 0.8240527510643005)]"
представление,[]
родина,[]
мирный,[]
взаимоотношение,[]
нацелить,[]
воспитание,[]
подрастать,[]
уважение,[]
готовность,[]
дружба,[]
сотрудничество,[]
представитель,[]
приниматься,[]
бумага,[]
акварельный,[]
краска,[]
полотно,[]
смотреть,[]
паспарту,[]
сторона,[]
указание,[]
печатный,[]
буква,[]
три,[]
возрастной,[]
принести,[]
библиотека,[]
часы,[]
ежедневно,[]
языковой,[]
довузовский,[]
дошкольный,[]
младший,[]
школьный,[]
будни,[]
английский,"[('язык', 0.7824819684028625)]"
китайский,[]
спортивный,[]
музыкальный,[]
посещение,[]
музей,[]
стоимость,[]
десятидневный,[]
курс,[]
рубль,[]
мочь,[]
позвонить,[]
задать,[]
утром,[]
освободитель,"[('интернационалист', 0.7074281573295593)]"
мемориальный,[]
братский,[]
могила,[]
церемония,"[('торжественный', 0.7616227865219116), ('награждение', 0.71392422914505)]"
возложение,[]
венок,[]
цвет,[]
побывать,[]
парад,[]
прохождение,[]
войско,[]
главный,[]
площадь,[]
праздничный,[]
коллектив,[]
областной,[]
культура,[]
знамя,[]
флаг,[]
штандарт,[]
начальник,[]
генерал,"[('майор', 0.7549503445625305)]"
майор,"[('генерал', 0.7549503445625305)]"
командовать,[]
артиллерия,[]
полковник,[]
парка,[]
огонь,[]
руководитель,[]
структурный,"[('подразделение', 0.817454993724823)]"
подразделение,"[('структурный', 0.8174550533294678)]"
журавль,[]
секретарь,[]
партбюро,[]
читальный,[]
зал,"[('актовый', 0.735691249370575), ('фехтовальный', 0.7275260090827942)]"
вторжение,[]
немецкий,[]
трудно,[]
переживать,[]
вскоре,[]
шестьсот,[]
отправиться,[]
ряд,[]
декабрь,"[('ноябрь', 0.7323291301727295)]"
погибнуть,[]
вписать,[]
золотой,[]
символ,[]
жертвенность,"[('трудоспособность', 0.7821329832077026)]"
гражданский,[]
нравственность,[]
писать,[]
эвакуация,[]
стена,[]
ректорат,[]
глава,[]
эшелон,[]
семья,[]
возглавлять,[]
сделать,[]
помочь,[]
быстро,[]
последствие,[]
блокадный,[]
холодный,[]
зима,[]
успешный,[]
быстрый,[]
возобновить,[]
аудитория,[]
возобновиться,[]
лето,[]
объединиться,[]
возглавить,[]
общественный,[]
штат,[]
оба,[]
самостоятельно,[]
хозяйственный,[]
направленность,[]
решаться,[]
подробный,[]
развивать,[]
фото,[]
длиться,[]
успеть,[]
внушительный,[]
исследовательский,[]
плод,[]
первостепенный,[]
синтез,[]
прерываться,[]
находить,[]
сфера,[]
ленинградский,[]
встать,[]
задача,[]
продиктовать,[]
сосредоточить,[]
оборонный,[]
заказ,[]
биолог,[]
функция,[]
нервный,[]
нарушить,[]
травма,[]
освоить,[]
выпуск,[]
закрытый,[]
головной,"[('убор', 0.7604390382766724)]"
мозг,[]
периферический,[]
нерв,[]
испытать,[]
установка,[]
спектральный,[]
высококачественный,[]
самолёт,[]
астрономия,[]
сконструировать,[]
изготовить,[]
прибор,[]
авиация,[]
физика,[]
изготавливать,[]
ремонтировать,[]
радиоаппаратура,[]
завод,[]
налаживать,[]
медицинский,[]
органический,"[('биоорганический', 0.8223980665206909)]"
химия,[]
походный,[]
месторождение,[]
газ,"[('нефть', 0.7512532472610474)]"
посёлок,[]
звание,[]
лауреат,[]
сталинский,[]
премия,[]
ответственный,[]
выбор,[]
трасса,[]
будущий,[]
железный,[]
дорога,[]
связь,[]
теодолит,[]
геодезический,[]
линейка,[]
рука,[]
свист,[]
пуля,"[('гильза', 0.7691378593444824)]"
строитель,[]
сто,[]
суметь,[]
проложить,[]
филолог,[]
заниматься,[]
составление,[]
словарь,[]
историк,[]
вели,[]
пропаганда,[]
героический,[]
партизанский,[]
лекторий,[]
прочитать,[]
лекция,[]
слушатель,[]
самоотверженный,[]
наградить,"[('грамота', 0.7469723224639893)]"
значок,[]
награда,[]
читать,[]
цикл,[]
публикация,[]
научныйполк,"[('мыпомнить', 0.8258038759231567), ('<unk>', 0.7497438788414001), ('свойгеройсг', 0.7360236048698425), ('туляремия', 0.7053796648979187), ('акцияэкономсг', 0.7016007304191589), ('блочный', 0.7011274099349976)]"
единственный,[]
июль,"[('август', 0.7462555170059204)]"
женщина,[]
директор,"[('заместитель', 0.7281345129013062)]"
заменить,[]
виртуальный,[]
выставка,[]
судьба,[]
вклад,[]
переоценить,[]
противостоять,[]
решение,[]
размещение,[]
здание,[]
заведение,[]
освоиться,[]
руководить,[]
университетский,[]
собирать,[]
большой,[]
физический,[]
сотня,[]
любопытный,[]
заслужить,[]
деятель,[]
абсолютно,[]
хватать,[]
стоять,[]
проход,[]
лестница,[]
антресоль,[]
сзади,[]
поздний,[]
коридор,[]
бояться,[]
количество,[]
заранее,[]
занять,"[('место', 0.7339446544647217)]"
том,[]
дневник,[]
впоследствии,[]
замдиректора,[]
мемуары,[]
спустя,[]
окончание,[]
ошибиться,[]
сказать,[]
ценный,[]
простота,[]
носить,[]
печать,[]
воссоздавать,[]
напряжённо,[]
переплести,[]
пожелтеть,[]
напечатать,[]
машинка,[]
повествовать,[]
испытание,[]
каждодневный,[]
забота,[]
настрой,[]
тяга,"[('становой', 0.8376568555831909)]"
искусство,[]
предоставлять,[]
репертуар,[]
театральный,[]
труппа,[]
проводить,[]
феномен,[]
донорство,[]
активно,[]
считать,[]
наследие,[]
способ,[]
восстановить,[]
отрывок,[]
платформа,[]
оставить,[]
прервать,[]
покинуть,[]
девушка,[]
едва,[]
исполниться,[]
блистать,[]
знаменитый,[]
врач,[]
математик,[]
фрагмент,[]
вступление,[]
редактор,[]
выпускник,[]
потенциал,[]
изобретатель,[]
февраль,"[('март', 0.7388344407081604), ('январь', 0.7217413187026978)]"
студгородок,[]
заложить,[]
открытие,[]
приурочить,[]
ежегодно,[]
накануне,[]
зависеть,[]
счастие,[]
толчок,[]
поисковый,[]
неизвестный,[]
издательство,[]
воевать,"[('домочадец', 0.7972675561904907)]"
трудиться,[]
знакомить,[]
читатель,[]
рассказывать,[]
основать,[]
газетный,[]
статья,[]
биографический,[]
автобиографический,[]
очерк,[]
архив,[]
фронтовик,[]
бессменный,[]
кандидат,[]
исторический,[]
опалить,[]
состоять,[]
очерковый,[]
отдел,[]
инженер,[]
прийтись,[]
потрудиться,"[('изрядно', 0.841596245765686), ('попотеть', 0.7616438269615173)]"
фраза,[]
уловить,[]
справка,[]
рецензия,[]
рассказ,[]
потрясать,[]
составлять,[]
слава,[]
доктор,"[('пед', 0.8787622451782227)]"
филологический,[]
уточнить,[]
биография,[]
добавить,[]
интервью,[]
озвучить,[]
презентация,[]
найти,[]
никто,[]
забытый,[]
пережить,[]
лихолетье,[]
отдавать,[]
дань,[]
распространять,[]
старание,[]
взглянуть,[]
пройтись,[]
след,[]
лонгрид,[]
биофак,[]
земляк,[]
тематический,[]
летопись,[]
новость,[]
ознакомиться,[]
сайт,[]
онлайн,[]
пополнить,[]
галерея,"[('картинный', 0.728726327419281)]"
заполнить,"[('анкета', 0.7118323445320129)]"
сохраниться,[]
навсегда,[]
губернатор,[]
победить,[]
благодарный,[]
защитник,[]
отстоять,[]
будущее,[]
доблесть,[]
самоотверженность,[]
преданность,[]
гласить,[]
поздравительный,[]
добро,[]
благо,[]
сильный,[]
процветать,[]
сердечно,"[('сосудистый', 0.7036893963813782)]"
потомок,[]
ратный,[]
трудовой,[]
являть,[]
образец,[]
истинный,[]
безграничный,[]
любовь,[]
незыблемый,[]
вера,[]
торжество,[]
справедливость,[]
общий,[]
вносить,[]
укрепление,[]
правда,[]
душа,[]
начинание,[]
миллион,[]
затронуть,[]
мужественно,[]
сражаться,[]
ковать,[]
спасти,[]
объединять,[]
единение,[]
давать,[]
угроза,[]
держава,[]
могущественный,[]
послание,[]
выходной,[]
отечество,[]
правительство,[]
утро,[]
гуляние,[]
угощение,[]
деревня,[]
экран,[]
житель,[]
увидеть,[]
трансляция,[]
городской,[]
выступать,[]
салют,[]
запустить,[]
празднование,[]
подряд,[]
пополняться,[]
лента,[]
семейный,[]
появляться,[]
изображение,[]
проникновенный,[]
бабушка,"[('дедушка', 0.7341227531433105)]"
изготовление,[]
деталь,[]
токарный,"[('станок', 0.7374163866043091)]"
станок,"[('чпу', 0.783253014087677), ('токарный', 0.7374163269996643)]"
обладать,[]
удобство,[]
подставлять,[]
обычный,[]
деревянный,"[('ложка', 0.7726726531982422)]"
ящик,[]
участок,[]
стараться,[]
брак,[]
выполнять,[]
нормативный,[]
план,[]
образ,[]
хороший,[]
согласно,[]
приказ,[]
сентябрь,"[('октябрь', 0.7316288352012634)]"
отличник,[]
авиационный,[]
промышленность,[]
доблестный,[]
указ,[]
служба,[]
юноша,[]
начать,[]
курсант,[]
артиллерийский,[]
училище,[]
капитан,[]
командир,[]
батарея,"[('аккумуляторный', 0.8420947194099426)]"
ранить,[]
мина,"[('штраф', 0.7262231111526489)]"
санитарный,[]
поезд,[]
привезти,[]
степень,[]
красный,[]
звезда,[]
метеорология,"[('климатология', 0.9003849625587463)]"
климатология,"[('метеорология', 0.9003848433494568)]"
застать,[]
страшный,[]
окончить,[]
взрослый,[]
отсутствие,[]
звучащий,[]
чёрный,[]
тарелка,[]
отправлять,[]
сбор,[]
остаток,[]
урожай,[]
пропасть,[]
многое,[]
мой,[]
участвовать,[]
дядя,"[('фёдор', 0.78080153465271), ('ваня', 0.7103522419929504)]"
родство,[]
принадлежать,[]
некогда,[]
крестьянин,[]
брат,[]
проживать,[]
двое,[]
потерять,[]
дорогой,[]
дойти,[]
осень,[]
попасть,[]
отвага,"[('слабоумие', 0.7007948756217957)]"
разведка,[]
тяжело,[]
ранение,[]
маршал,[]
освобождать,[]
освобождение,[]
взятие,[]
второй,"[('третий', 0.7114763259887695)]"
посетитель,[]
отличие,[]
подробно,[]
постоянный,[]
ровный,[]
строй,[]
сгу,[]
открытый,[]
футбол,[]
тайм,[]
президент,[]
тренер,[]
гребля,"[('каноэ', 0.8241626620292664), ('байдарка', 0.7614684104919434)]"
старт,[]
вратарь,[]
играть,[]
спорт,[]
исполнительный,[]
игровой,[]
счёт,[]
мяч,[]
произойти,[]
замена,[]
забить,"[('гол', 0.8097646236419678)]"
гол,"[('забить', 0.8097646832466125)]"
акробатический,[]
перехватить,[]
постепенно,[]
отыграться,[]
финальный,[]
закончиться,[]
ничья,[]
награждать,[]
политика,[]
воспитательный,[]
инструктор,[]
испытатель,[]
космический,[]
техника,[]
отделение,[]
освоение,[]
околоземный,[]
пилотировать,[]
профессиональный,[]
путь,[]
совершить,[]
полёт,[]
парашютный,[]
прыжок,[]
некоторый,[]
производиться,[]
метр,[]
сверхмалый,[]
эксперимент,[]
установление,[]
