Word,Most_Similar_Word
оркестр,"[('балет', 0.865111768245697), ('опера', 0.8475176095962524), ('джазовый', 0.8140420317649841), ('хор', 0.8077903985977173), ('балалайка', 0.8045406341552734), ('симфонический', 0.8034754395484924), ('гитарный', 0.8001299500465393)]"
бережно,"[('хранить', 0.8950566649436951), ('чтить', 0.8514870405197144)]"
нести,[]
портрет,[]
родственник,[]
приближать,[]
победа,[]
поле,[]
бой,[]
тыл,"[('труженик', 0.9443467855453491), ('фронт', 0.8490606546401978), ('солдат', 0.8429213762283325), ('воевать', 0.8301140069961548), ('погибнуть', 0.8076331615447998)]"
пасть,[]
герой,[]
великий,[]
отечественный,[]
война,[]
прадед,"[('дед', 0.9137318730354309), ('дедушка', 0.8541926145553589), ('прадедушка', 0.84278804063797), ('отчизна', 0.8294503092765808), ('бабушка', 0.8234866857528687), ('самоотверженно', 0.8191282153129578), ('печаль', 0.8138403296470642), ('ленинградец', 0.8082827925682068)]"
дед,"[('прадед', 0.9137317538261414), ('дедушка', 0.8633267879486084), ('бабушка', 0.8464056849479675), ('мороз', 0.8249658942222595), ('солдат', 0.8190479278564453), ('мать', 0.8040421009063721)]"
отвоевать,"[('беспримерный', 0.8531575202941895), ('сломить', 0.8514707684516907), ('иисус', 0.8448544144630432), ('ненавистный', 0.8431077003479004), ('теннисист', 0.8383470773696899), ('созидать', 0.825814425945282), ('собачка', 0.8244033455848694), ('морковь', 0.8239639401435852), ('огорчение', 0.8223041892051697), ('чума', 0.8215835094451904)]"
мир,[]
следующий,[]
поколение,[]
человек,[]
делиться,[]
радость,"[('тепло', 0.8158230185508728)]"
петь,"[('танцевать', 0.9109584093093872), ('гитара', 0.8931218385696411), ('водить', 0.8671400547027588), ('спеть', 0.8539396524429321), ('хоровод', 0.8387514352798462), ('аккомпанировать', 0.8372712731361389), ('флейта', 0.8324941992759705), ('частушка', 0.8322741389274597), ('подпевать', 0.8310335278511047), ('станцевать', 0.8237558007240295)]"
смуглянка,"[('платочек', 0.8981209397315979), ('рояль', 0.8944091796875), ('капелла', 0.8810075521469116), ('пьяный', 0.877777099609375), ('ласковый', 0.8772258162498474), ('катюша', 0.8739519119262695), ('пехота', 0.8718204498291016), ('вася', 0.8705652356147766), ('медведица', 0.8690366148948669), ('аккордеон', 0.8688772320747375)]"
синий,"[('белый', 0.8971517086029053), ('голубой', 0.8812875747680664), ('чёрный', 0.8778799772262573), ('фиолетовый', 0.8653932809829712), ('шар', 0.8583437204360962), ('разноцветный', 0.858269214630127), ('розовый', 0.8541515469551086), ('оранжевый', 0.8502945899963379), ('колесо', 0.8477450013160706), ('волос', 0.8476601243019104)]"
платочек,"[('смуглянка', 0.8981207609176636), ('пехота', 0.8688485622406006), ('кружить', 0.8683075308799744), ('аккордеон', 0.8578401803970337), ('лебедь', 0.8539479970932007), ('фортепианный', 0.8536170125007629), ('ласковый', 0.8533074259757996), ('танкист', 0.8498744368553162), ('плач', 0.8459450006484985), ('кузнечик', 0.845137894153595)]"
воодушевлённо,"[('душевно', 0.8877021074295044), ('подтанцовывать', 0.8777593970298767), ('морковь', 0.8711121678352356), ('клюв', 0.8654864430427551), ('птичка', 0.8628784418106079), ('сель', 0.8620986342430115), ('толкнуть', 0.8613214492797852), ('трогательно', 0.8602148294448853), ('кружить', 0.8599414229393005), ('плащ', 0.8597238063812256)]"
кричать,"[('смеяться', 0.8296998143196106), ('надеть', 0.8271619081497192), ('хлопать', 0.8234890699386597), ('девчонка', 0.820559024810791), ('громко', 0.8203150033950806), ('словно', 0.8200907111167908), ('плакать', 0.8151190876960754), ('загадывать', 0.8144998550415039), ('задорно', 0.8128318786621094), ('шутить', 0.8096583485603333)]"
ура,[]
ректор,[]
проректор,[]
преподаватель,[]
отметить,"[('подчеркнуть', 0.8360764384269714)]"
особый,[]
энергетика,"[('промышленность', 0.8153333067893982)]"
полка,"[('игорев', 0.8728917837142944)]"
идея,[]
прийти,[]
сверху,"[('пыль', 0.8824887275695801), ('фланг', 0.8723921179771423), ('кисломолочный', 0.8723387718200684), ('шея', 0.8713796734809875), ('судорога', 0.8643366098403931), ('макароны', 0.8642972707748413), ('голкипер', 0.8637336492538452), ('обильный', 0.8625802397727966), ('метать', 0.8622196316719055), ('толкнуть', 0.8615739941596985)]"
снизу,"[('сверху', 0.8240697979927063), ('прилив', 0.8014034032821655)]"
полностью,[]
создать,[]
добровольный,[]
приходить,[]
воля,[]
эмоция,[]
посмотреть,[]
лицо,[]
радостный,"[('светлый', 0.8271362781524658), ('долгожданный', 0.8071675896644592), ('наполнить', 0.8013883829116821)]"
всё,[]
помнить,"[('забывать', 0.8186038732528687)]"
наш,[]
уйти,[]
живой,[]
сердце,[]
день,[]
вместе,[]
слово,[]
российский,[]
солдат,"[('воин', 0.8818586468696594), ('тыл', 0.8429213762283325), ('героизм', 0.8302165269851685), ('труженик', 0.8259851336479187), ('дивизия', 0.8253558278083801), ('дед', 0.8190478682518005), ('подвиг', 0.8064552545547485)]"
принимать,"[('принять', 0.8362863659858704)]"
спецоперация,[]
уверенный,[]
поднять,"[('подниматься', 0.8174262046813965), ('поднимать', 0.8161299228668213)]"
боевой,[]
дух,[]
традиционно,[]
завершиться,"[('начаться', 0.8490554094314575), ('продолжиться', 0.8329689502716064), ('закончиться', 0.8260064125061035)]"
горожанин,[]
встречать,"[('встретить', 0.8439851403236389)]"
свет,[]
концерт,[]
артист,[]
данные,[]
организатор,[]
прислать,[]
тысяча,"[('свыше', 0.8025475144386292)]"
председатель,[]
поздравить,"[('поздравлять', 0.8168579339981079)]"
летие,[]
поздравлять,"[('поздравить', 0.8168578743934631)]"
священный,[]
праздник,[]
быть,[]
тот,[]
отдать,[]
защищать,[]
забыть,"[('замечать', 0.8093305826187134), ('запомнить', 0.8007468581199646)]"
цена,[]
достаться,"[('завоевать', 0.8187028765678406)]"
подвиг,"[('героический', 0.8691126108169556), ('героизм', 0.8655749559402466), ('мужество', 0.8251447677612305), ('солдат', 0.8064552545547485), ('чтить', 0.8053478598594666)]"
ветеран,[]
освободить,"[('захватчик', 0.824234664440155), ('предводительство', 0.8225331902503967)]"
фашизм,"[('враг', 0.8496831655502319), ('воин', 0.8215477466583252), ('горечь', 0.8190717101097107), ('мужество', 0.8167411088943481), ('героизм', 0.8134235143661499), ('фашистский', 0.801917314529419), ('героический', 0.8006170988082886)]"
вечный,[]
пример,[]
желать,[]
здоровье,[]
сам,[]
добрый,[]
написать,[]
заместитель,[]
направить,[]
адрес,[]
поздравление,[]
сменять,"[('кружить', 0.815318763256073), ('капля', 0.8139579892158508), ('пантомимический', 0.8057346343994141)]"
друг,[]
память,[]
вечно,[]
жить,[]
тяжёлый,[]
усилие,[]
щадить,[]
жизнь,[]
стойко,"[('толкнуть', 0.8374817967414856), ('голкипер', 0.8262765407562256), ('изысканный', 0.8248281478881836), ('шея', 0.8230392932891846), ('броситься', 0.8221461176872253), ('опоздать', 0.8214750289916992), ('ошибаться', 0.814660906791687), ('снитч', 0.8143210411071777), ('убежать', 0.8135878443717957), ('колено', 0.8104322552680969)]"
вынести,[]
тягота,[]
дать,[]
отпор,[]
захватчик,"[('фашистский', 0.8717209100723267), ('освободить', 0.8242347240447998), ('немецко', 0.8165068626403809), ('освобождать', 0.8118078708648682), ('разгром', 0.8066666126251221)]"
защитить,[]
дом,[]
ребёнок,[]
родный,[]
страна,[]
гордиться,[]
сила,[]
мужество,"[('стойкость', 0.9335536360740662), ('героизм', 0.9330952167510986), ('отвага', 0.9119380712509155), ('самоотверженность', 0.891053318977356), ('доблесть', 0.855842113494873), ('отчизна', 0.8332024812698364), ('подвиг', 0.8251446485519409), ('величие', 0.8236703276634216), ('верность', 0.8220497369766235), ('долг', 0.8185198307037354)]"
преклоняться,[]
они,[]
долг,"[('мужество', 0.8185197710990906), ('героизм', 0.8171874284744263), ('отчизна', 0.8064870238304138)]"
хранить,"[('бережно', 0.8950566053390503), ('чтить', 0.8922613263130188)]"
достойно,[]
продолжать,[]
традиция,[]
вести,[]
борьба,[]
любой,[]
проявление,[]
попытка,[]
искажение,[]
история,[]
работать,[]
достижение,[]
новый,[]
успех,[]
ради,"[('беречь', 0.8367452621459961)]"
процветание,"[('благо', 0.8306361436843872)]"
благополучие,[]
говориться,[]
уважаемый,"[('дорогой', 0.8124516606330872)]"
университет,[]
коллега,[]
один,[]
важный,[]
событие,[]
каждый,[]
россиянин,[]
ассоциироваться,[]
горечь,"[('беспримерный', 0.867891252040863), ('ненавистный', 0.855469822883606), ('склоняемый', 0.8482541441917419), ('огорчение', 0.8458868861198425), ('вывих', 0.8437977433204651), ('храбрый', 0.8417572379112244), ('несгибаемый', 0.8415389060974121), ('мириться', 0.837265133857727), ('плакать', 0.8287314772605896), ('холод', 0.8278900980949402)]"
боль,"[('слабость', 0.8420934677124023), ('горечь', 0.8277360200881958), ('голова', 0.8091407418251038), ('покой', 0.8059903979301453)]"
вернуться,[]
домой,[]
собираться,[]
возле,"[('двор', 0.8625433444976807), ('напротив', 0.8322688937187195), ('крыша', 0.8080061078071594), ('набережная', 0.802649199962616), ('дорожка', 0.8004512786865234)]"
обелиск,"[('монумент', 0.8567420840263367), ('стела', 0.8557271957397461), ('братский', 0.8482662439346313), ('интернационалист', 0.8469929695129395), ('гранитный', 0.8327266573905945), ('высечь', 0.8318573236465454), ('венок', 0.8259404301643372), ('воздвигнуть', 0.8246803879737854), ('мемориал', 0.8226701021194458), ('ель', 0.8217906951904297)]"
канун,"[('преддверие', 0.8787388205528259)]"
испытывать,[]
чувство,"[('мудрость', 0.8272417187690735), ('ощущение', 0.8065467476844788)]"
благодарность,"[('признательность', 0.8576774597167969)]"
завоевать,"[('достаться', 0.8187028765678406)]"
ночь,[]
час,[]
минута,[]
пройти,"[('состояться', 0.8456324934959412), ('проходить', 0.8244869112968445)]"
июнь,"[('январь', 0.8638163805007935), ('декабрь', 0.8489731550216675), ('февраль', 0.8467581868171692), ('ноябрь', 0.8450659513473511), ('октябрь', 0.8434926867485046), ('май', 0.842693567276001), ('сентябрь', 0.8409078121185303), ('июль', 0.8304198980331421)]"
подписание,"[('соглашение', 0.832740306854248)]"
акт,[]
безоговорочный,[]
капитуляция,[]
фашистский,"[('захватчик', 0.8717210292816162), ('немецко', 0.870023250579834), ('дивизия', 0.8398855328559875), ('воин', 0.8272348046302795), ('блокада', 0.8231605887413025), ('умерший', 0.8043951392173767), ('разгром', 0.8026778101921082), ('фашизм', 0.8019174337387085)]"
условие,[]
занятие,[]
прифронтовой,"[('речка', 0.8086987137794495), ('похоронный', 0.8016866445541382)]"
научный,[]
лаборатория,[]
дежурить,[]
крыша,"[('снег', 0.8088462948799133), ('возле', 0.8080061078071594)]"
помогать,[]
раненый,"[('ухаживать', 0.8006355166435242)]"
свободный,[]
госпиталь,[]
город,[]
немало,[]
восстанавливать,[]
народный,[]
хозяйство,[]
оперировать,[]
оборона,[]
обеспечивать,[]
весь,[]
необходимый,[]
ленинградец,"[('ранить', 0.8160483837127686), ('прадед', 0.8082828521728516), ('прадедушка', 0.8016139268875122)]"
эвакуировать,[]
учиться,[]
учить,[]
несмотря,[]
чудовищный,"[('мелиоративный', 0.9361909627914429), ('сыр', 0.9293298125267029), ('хармонь', 0.9267176389694214), ('минобрнауки', 0.9244655966758728), ('рукав', 0.9240350723266602), ('рфдокумент', 0.9230940341949463), ('лучшиевыпускникисаратовскогоуниверситет', 0.9224234223365784), ('молить', 0.9207180738449097), ('проезжать', 0.9202566742897034), ('смола', 0.9201079607009888)]"
истощение,[]
блокада,"[('фашистский', 0.8231604695320129)]"
кто,[]
вспоминать,[]
победный,[]
разделить,"[('поделить', 0.8958475589752197)]"
слеза,"[('гореть', 0.8796772956848145), ('грусть', 0.8565802574157715), ('плакать', 0.8398320078849792), ('веселие', 0.8172451853752136), ('дама', 0.8161084055900574), ('смеяться', 0.8118301630020142), ('громко', 0.8100805878639221), ('нежный', 0.8026453852653503), ('сиять', 0.8006917834281921)]"
глаз,[]
провести,"[('проводить', 0.80141282081604)]"
митинг,[]
посвятить,[]
годовщина,[]
погибший,"[('погибнуть', 0.8728345632553101), ('мемориал', 0.826038658618927)]"
собраться,[]
открыть,[]
торжественный,[]
находиться,[]
преддверие,"[('канун', 0.8787388205528259)]"
главное,[]
государство,[]
хотеться,[]
искренний,[]
назад,[]
подарить,"[('преподнести', 0.8239361643791199)]"
свобода,[]
независимость,[]
воин,"[('солдат', 0.8818586468696594), ('фашистский', 0.8272348046302795), ('дивизия', 0.8232179284095764), ('фашизм', 0.8215477466583252), ('погибнуть', 0.8190374970436096), ('панфиловец', 0.8172949552536011), ('отвага', 0.8080258369445801), ('героизм', 0.8064028024673462)]"
удаться,[]
повторить,[]
соотечественник,[]
земля,[]
место,[]
обратиться,[]
молодёжь,[]
призыв,[]
чтить,"[('хранить', 0.8922613859176636), ('бережно', 0.8514871001243591), ('предок', 0.8265692591667175), ('подвиг', 0.8053478002548218)]"
великое,[]
прошлое,[]
позволять,"[('позволить', 0.8188063502311707)]"
переписывать,"[('фольклористика', 0.80501788854599)]"
искажать,[]
реальный,[]
ход,[]
рассказать,[]
недавний,[]
разговор,[]
руководство,[]
поделиться,[]
информация,[]
обстоять,"[('вакханалия', 0.8266490697860718)]"
дело,[]
вуз,[]
обстановка,[]
многие,[]
фронт,"[('тыл', 0.8490606546401978), ('воевать', 0.8435079455375671), ('погибнуть', 0.81844162940979)]"
выдержать,[]
передать,[]
такой,[]
мысль,[]
общеуниверситетский,[]
начаться,"[('завершиться', 0.8490554690361023), ('продолжиться', 0.8103703856468201)]"
запись,[]
доброволец,[]
первый,[]
месяц,[]
получить,[]
орден,[]
медаль,[]
памятник,[]
гранитный,"[('берёзовый', 0.8933525681495667), ('вышитый', 0.8932222127914429), ('плащ', 0.8907084465026855), ('лиза', 0.8900260925292969), ('слева', 0.886415958404541), ('кукушка', 0.8847326636314392), ('похоронный', 0.8836172223091125), ('собиновый', 0.8805348873138428), ('наложить', 0.8803626298904419), ('подбить', 0.8799407482147217)]"
плита,[]
первоначально,[]
фамилия,"[('отчество', 0.8653588891029358)]"
нужно,[]
имя,[]
остаться,[]
навечно,"[('навеки', 0.8105549216270447)]"
воспоминание,[]
детство,[]
член,[]
президиум,[]
относиться,[]
закончить,[]
класс,[]
происходить,[]
мелочь,"[('бармен', 0.8250332474708557)]"
голос,[]
передавать,[]
сводка,[]
пронзительный,"[('баллада', 0.8617194294929504), ('нежный', 0.8495978116989136), ('проникновенно', 0.8282087445259094), ('сонет', 0.8254084587097168), ('треугольник', 0.8184217810630798), ('поэма', 0.8108842372894287), ('молитва', 0.8085289001464844)]"
вставать,[]
огромный,[]
толпа,"[('хлопать', 0.8334332704544067), ('губа', 0.8114047646522522), ('силуэт', 0.8101244568824768), ('плакать', 0.806761622428894), ('слышный', 0.8039952516555786), ('будить', 0.8036978244781494), ('смеяться', 0.8029395937919617), ('громко', 0.8023619651794434), ('отчаяние', 0.8001939654350281)]"
беженец,[]
укреплять,[]
поддерживать,[]
моральный,[]
русский,[]
народ,[]
подчеркнуть,"[('отметить', 0.8360764980316162)]"
действие,[]
заведовать,"[('доцент', 0.8416459560394287)]"
кафедра,[]
мобилизационный,[]
подготовка,[]
здравоохранение,[]
медицина,[]
катастрофа,[]
сгма,"[('сгт', 0.8365097045898438), ('ссэя', 0.8220816254615784)]"
доцент,"[('заведовать', 0.8416459560394287), ('ассистент', 0.802747368812561)]"
вызов,[]
рождать,"[('парадоксальный', 0.8341856002807617)]"
прогреметь,"[('копить', 0.8468341827392578), ('гарантироваться', 0.8464199304580688), ('американка', 0.8397040963172913), ('берингия', 0.8394078016281128), ('минобрнауки', 0.8358998894691467), ('немногое', 0.8317516446113586), ('бик', 0.8307832479476929), ('полуночь', 0.8293964266777039), ('инк', 0.8284118175506592), ('дымовой', 0.8282369375228882)]"
последний,[]
залп,"[('прогреметь', 0.8147257566452026)]"
героизм,"[('мужество', 0.9330952167510986), ('стойкость', 0.8956222534179688), ('самоотверженность', 0.8825450539588928), ('отвага', 0.8750694990158081), ('подвиг', 0.8655748963356018), ('доблесть', 0.8588539958000183), ('отчизна', 0.8352082371711731), ('солдат', 0.8302165865898132), ('героический', 0.8258852362632751), ('величие', 0.8255348801612854)]"
стойкость,"[('мужество', 0.9335537552833557), ('героизм', 0.8956222534179688), ('самоотверженность', 0.8950818181037903), ('отчизна', 0.8626423478126526), ('отвага', 0.8607927560806274), ('величие', 0.8204168677330017), ('благородство', 0.8191936016082764), ('великодушие', 0.8180838227272034), ('самопожертвование', 0.8171234130859375), ('истинный', 0.8130291104316711)]"
храбрость,"[('беспримерный', 0.8528441786766052), ('самопожертвование', 0.8215321898460388), ('благородство', 0.8025833964347839)]"
офицер,[]
высокий,[]
самоотдача,[]
труженик,"[('тыл', 0.9443467855453491), ('солдат', 0.8259851932525635), ('погибнуть', 0.8130521774291992), ('воевать', 0.8101893067359924)]"
студенческий,[]
приветствовать,"[('поприветствовать', 0.9288425445556641)]"
активистка,[]
студентка,"[('магистрантка', 0.807763397693634)]"
социологический,[]
факультет,[]
отделять,"[('умирать', 0.8649482727050781), ('биться', 0.8471041321754456), ('реабилитировать', 0.835849940776825), ('беспримерный', 0.8348889946937561), ('прабабушка', 0.828386664390564), ('повзрослеть', 0.8222532272338867), ('вывих', 0.8189257383346558), ('оттого', 0.8181473612785339), ('подбить', 0.8122792840003967), ('храбрый', 0.811023473739624)]"
чей,[]
честь,[]
монумент,"[('стела', 0.8798307180404663), ('обелиск', 0.8567421436309814), ('мемориал', 0.849845826625824), ('могила', 0.841217041015625), ('журавль', 0.8407968878746033), ('венок', 0.8403642177581787), ('фонтан', 0.8270964026451111), ('братский', 0.8180429339408875), ('воздвигнуть', 0.8128952383995056), ('возложение', 0.8107912540435791)]"
гордость,[]
часть,[]
представлять,[]
медсестра,[]
возводить,[]
оставаться,[]
храм,"[('настоятель', 0.8805347681045532), ('равноапостольный', 0.8680567741394043), ('царственный', 0.8369337916374207), ('святой', 0.8342784643173218), ('домовый', 0.8280575275421143), ('страстотерпец', 0.8056962490081787)]"
наука,[]
молодой,[]
число,[]
патриотический,[]
расти,[]
рада,"[('рад', 0.8090790510177612)]"
осознавать,[]
важность,[]
сохранение,[]
молчание,[]
возложить,[]
цветок,"[('мемориал', 0.8130767941474915), ('монумент', 0.8104965090751648)]"
мемориал,"[('монумент', 0.8498457670211792), ('могила', 0.8358840942382812), ('возложение', 0.8324817419052124), ('погибший', 0.8260387778282166), ('обелиск', 0.8226702213287354), ('цветок', 0.8130767941474915), ('стела', 0.804146945476532)]"
мероприятие,[]
продолжить,[]
подготовить,[]
продолжение,[]
территория,[]
кампус,[]
товарищеский,[]
футбольный,"[('баскетбольный', 0.8123579025268555), ('волейбольный', 0.8030170202255249)]"
матч,[]
спортсмен,[]
апрель,"[('ноябрь', 0.9116923809051514), ('октябрь', 0.8952468037605286), ('март', 0.8917562961578369), ('февраль', 0.8844805955886841), ('май', 0.8788188695907593), ('декабрь', 0.8481214046478271), ('сентябрь', 0.8179569244384766), ('январь', 0.8078288435935974)]"
международный,[]
научно,[]
теоретический,[]
конференция,[]
право,[]
эволюция,[]
состояние,[]
перспектива,[]
развитие,[]
образование,[]
форум,[]
обсуждаться,[]
вопрос,[]
связанный,[]
характеристика,"[('параметр', 0.8173653483390808)]"
тип,[]
особенность,"[('специфика', 0.8191400766372681)]"
союзный,[]
федеративный,[]
отношение,[]
политический,[]
режим,[]
советский,[]
форма,[]
взаимодействие,[]
общество,[]
юридический,[]
другой,[]
конституционный,[]
муниципальный,[]
доклад,[]
институт,[]
обращение,[]
гражданин,[]
роль,[]
система,[]
контроль,[]
политико,[]
правовой,[]
анализ,[]
профессор,[]
тема,[]
социалистический,[]
демократия,[]
выступить,[]
орган,[]
принцип,[]
формирование,[]
деятельность,[]
контрольный,[]
надзорный,[]
учёный,[]
обнародовать,[]
результат,[]
исследование,[]
выполнить,[]
финансовый,[]
поддержка,[]
рамка,[]
проект,[]
исследователь,[]
итог,[]
планироваться,[]
издание,[]
сборник,[]
стать,[]
игра,[]
летний,[]
перерыв,[]
стадион,"[('дачный', 0.8706216216087341)]"
пятый,"[('четвёртый', 0.867160975933075), ('шестой', 0.8011321425437927)]"
межрегиональный,[]
турнир,"[('соревнование', 0.8686237335205078)]"
группа,[]
дивизион,[]
нсфл,[]
комплексный,[]
всероссийский,[]
соревнование,"[('турнир', 0.8686237931251526), ('состязание', 0.8175716996192932)]"
сезон,[]
команда,[]
напомнить,[]
ждать,"[('ожидать', 0.8268080353736877)]"
пять,"[('четыре', 0.8455471992492676), ('десять', 0.8245517611503601), ('шесть', 0.8218520879745483), ('семь', 0.8163483142852783)]"
программный,[]
тур,[]
сегодняшний,[]
подойти,"[('подходить', 0.8103435635566711)]"
конец,[]
стартовать,[]
сборная,"[('сборный', 0.8125230669975281)]"
поражение,[]
занимать,[]
промежуточный,[]
турнирный,"[('таблица', 0.8407597541809082)]"
таблица,"[('турнирный', 0.840759813785553)]"
расписание,[]
саратовский,[]
пятница,"[('четверг', 0.908523678779602), ('вторник', 0.9050202965736389), ('понедельник', 0.8904785513877869), ('суббота', 0.8447007536888123), ('воскресение', 0.8378486037254333)]"
суббота,"[('воскресение', 0.912067174911499), ('четверг', 0.864648699760437), ('вторник', 0.8465441465377808), ('пятница', 0.8447007536888123), ('понедельник', 0.8342512845993042)]"
воскресение,"[('суббота', 0.9120672941207886), ('пятница', 0.8378486633300781), ('вторник', 0.8291323781013489), ('четверг', 0.824378490447998)]"
доступный,[]
прямой,[]
эфир,[]
канал,[]
ссылка,[]
против,[]
интересовать,[]
обращаться,[]
пресс,[]
атташе,[]
телефон,[]
официальный,[]
социальный,[]
сеть,[]
выйти,[]
книга,[]
каталог,[]
членистоногий,"[('беспозвоночный', 0.9091428518295288), ('систематик', 0.8620292544364929), ('насекомое', 0.8551797270774841), ('флора', 0.8274391293525696), ('чешуекрылый', 0.8243643045425415), ('растительность', 0.8221736550331116), ('жесткокрылый', 0.8108369708061218), ('белемнит', 0.8094310164451599), ('остаток', 0.807610034942627), ('моллюск', 0.8009034395217896)]"
национальный,[]
парк,"[('парка', 0.8439863920211792)]"
хвалынский,"[('волжский', 0.8167116641998291)]"
редакция,[]
морфология,"[('микробиология', 0.8375610709190369), ('ботаник', 0.8285270929336548)]"
экология,[]
животное,[]
монография,[]
фауна,"[('насекомое', 0.8960950970649719), ('флора', 0.8954221606254578), ('чешуекрылый', 0.881489634513855), ('степной', 0.8495230674743652), ('моль', 0.8292898535728455), ('химера', 0.8284037113189697), ('популяция', 0.824941098690033), ('растительность', 0.8243076801300049), ('беспозвоночный', 0.8209560513496399), ('остаток', 0.8187912702560425)]"
прилегать,"[('обустройство', 0.8079224824905396), ('урбанизированный', 0.8018831610679626), ('убрать', 0.8001338243484497)]"
материал,[]
ведущий,[]
энтомолог,[]
зоолог,[]
биологический,[]
аспирант,[]
специалист,[]
различный,[]
создание,[]
целенаправленный,[]
привлечь,[]
разный,[]
образовательный,[]
организация,[]
основа,[]
обработать,[]
автор,[]
крупный,[]
раздел,[]
приводиться,[]
основной,"[('основный', 0.8208692073822021)]"
источник,[]
исследовать,[]
включая,[]
естествоиспытатель,[]
краевед,"[('искусствовед', 0.8009076118469238)]"
труд,[]
смочь,[]
охватить,[]
состав,[]
познание,[]
природа,[]
благодаря,[]
работа,[]
узнать,[]
летать,"[('лебедь', 0.8668010830879211), ('спина', 0.8594986796379089), ('лететь', 0.8560386896133423), ('плакать', 0.8463571071624756), ('розовый', 0.8403458595275879), ('заяц', 0.8373212218284607), ('есть', 0.8364346623420715), ('паук', 0.8333066701889038), ('кот', 0.8328064680099487), ('ловить', 0.8314241170883179)]"
прыгать,"[('обруч', 0.9007777571678162), ('изысканный', 0.8844723701477051), ('спина', 0.8810686469078064), ('колено', 0.8794265389442444), ('стрелять', 0.8777756690979004), ('бегать', 0.8760840892791748), ('есть', 0.8741722702980042), ('волос', 0.8733673095703125), ('толкнуть', 0.8716644048690796), ('метла', 0.8695166110992432)]"
склон,"[('сосновый', 0.9006689786911011), ('пойма', 0.8939982056617737), ('урочище', 0.8878679275512695), ('пруд', 0.887066662311554), ('хребет', 0.8868169188499451), ('озеро', 0.8865646123886108), ('береговой', 0.8826838135719299), ('обрыв', 0.8826664090156555), ('ярус', 0.8774163722991943), ('цветущий', 0.8738194108009338)]"
широкий,[]
меловой,"[('отложение', 0.9000914692878723), ('палеогеновый', 0.8740342259407043), ('юрский', 0.8715311884880066), ('разрез', 0.8316364288330078), ('мел', 0.8258126378059387), ('обследовать', 0.8251959085464478), ('степной', 0.8247362375259399), ('пограничный', 0.8225933313369751), ('пойменный', 0.8224756717681885), ('сеноманский', 0.8163186311721802)]"
степь,"[('цветущий', 0.8815841674804688), ('пойменный', 0.8778954744338989), ('рептилия', 0.8714041113853455), ('склон', 0.8713449239730835), ('степной', 0.871243953704834), ('сосновый', 0.8707926273345947), ('озеро', 0.8659177422523499), ('хрящевой', 0.8530993461608887), ('ярус', 0.8509265184402466), ('урочище', 0.8501670360565186)]"
ведение,[]
